credit_score,annual_income,dti_ratio,loan_amount,loan_term,employment_length,num_credit_lines,delinquent_history,num_delinquencies,num_credit_inquiries,revolving_util,interest_rate,loan_status
689,63508.16,33.99,6888.33,60,2,6,0,0,0,23.06,4.96,Fully Paid
638,57614.82,12.68,3992.32,36,10,2,0,0,2,9.22,3.56,Fully Paid
701,105987.29,21.29,17063.99,36,3,5,0,0,4,30.37,4.2,Fully Paid
771,150196.35,17.82,9712.62,36,10,6,0,0,1,53.47,4.55,Fully Paid
631,90409.82,26.31,8094.84,48,3,7,0,0,3,42.39,5.38,Fully Paid
631,109856.06,13.11,10343.46,48,5,9,0,0,1,62.99,5.07,Fully Paid
776,52551.95,28.49,10034.72,60,10,6,0,0,0,28.87,4.8,Fully Paid
711,64553.07,31.37,4169.07,36,3,5,0,0,3,20.16,5.62,Fully Paid
612,146011.29,21.47,8343.94,36,3,6,0,0,1,55.68,5.31,Fully Paid
693,82127.39,19.66,13419.03,48,2,2,1,1,4,22.1,8.15,Fully Paid
612,51781.18,17.94,7255.22,48,1,3,0,0,2,32.0,6.16,Fully Paid
612,61055.0,37.31,20769.09,24,7,5,1,3,3,23.86,7.51,Default
669,111556.98,2.71,46882.49,36,3,5,0,0,1,53.55,5.1,Fully Paid
496,117681.39,27.17,21522.91,48,15,6,1,1,1,46.14,7.25,Default
512,36124.31,6.35,35405.73,60,10,6,1,2,3,59.7,9.18,Default
605,74425.56,11.82,25972.87,48,15,5,1,1,1,5.48,5.73,Default
568,59593.05,5.77,4649.56,60,3,6,0,0,2,62.62,6.5,Fully Paid
675,57565.49,17.87,20640.54,12,7,5,0,0,0,35.31,2.69,Fully Paid
577,133010.69,25.25,12009.31,48,3,5,0,0,0,33.66,5.8,Fully Paid
537,51920.92,34.58,8523.13,60,5,2,0,0,0,25.42,6.09,Fully Paid
767,42389.41,33.16,28559.6,36,1,4,0,0,0,26.61,4.4,Fully Paid
631,36717.37,20.74,6240.39,36,10,7,0,0,1,65.94,4.91,Fully Paid
655,53920.81,22.53,15118.61,48,10,6,1,1,0,58.88,7.39,Fully Paid
536,38516.89,7.54,10390.33,36,5,3,0,0,1,69.88,5.08,Default
606,35636.69,13.08,17479.4,12,10,3,0,0,1,32.27,3.51,Fully Paid
658,35102.16,18.21,8719.75,48,10,5,0,0,3,28.07,5.02,Fully Paid
557,36376.36,20.18,21899.89,60,7,6,0,0,1,8.56,5.56,Fully Paid
680,37930.11,19.74,13731.5,36,2,4,0,0,0,49.08,4.76,Fully Paid
601,76071.7,6.49,20881.84,24,7,2,1,1,2,33.57,6.57,Default
626,18471.98,10.43,6097.13,60,10,4,0,0,0,33.18,3.94,Fully Paid
601,39298.75,31.47,18739.59,36,5,7,0,0,0,24.87,5.36,Default
798,56382.95,2.08,14670.61,48,2,3,0,0,2,35.47,4.42,Fully Paid
648,119273.54,22.35,13643.02,24,7,6,0,0,1,35.79,4.19,Fully Paid
565,51660.24,15.47,12151.78,60,15,2,0,0,2,40.42,4.69,Fully Paid
715,54611.84,9.13,8667.05,24,7,4,0,0,1,85.67,4.24,Fully Paid
552,56796.61,29.48,34523.85,24,15,10,0,0,3,43.6,5.4,Default
666,20046.05,30.08,34212.16,36,7,7,0,0,1,18.72,6.16,Default
493,88916.75,30.61,81556.31,36,15,4,0,0,4,27.79,5.92,Default
543,86721.14,14.83,5903.2,24,15,5,0,0,1,61.85,3.89,Fully Paid
665,97606.34,10.6,10031.72,12,2,2,0,0,2,48.27,4.62,Fully Paid
709,269280.49,11.48,31194.95,36,3,6,0,0,1,47.37,5.34,Fully Paid
663,27471.02,21.98,19480.38,48,5,4,0,0,1,46.09,5.36,Fully Paid
640,24518.52,12.99,26841.71,48,0,6,0,0,3,29.25,7.68,Fully Paid
625,91447.51,4.97,9444.51,36,1,5,0,0,0,9.84,4.71,Fully Paid
531,48898.72,8.82,13271.37,36,15,3,1,2,2,59.44,7.21,Default
592,33144.2,26.74,9283.92,24,5,3,0,0,1,16.97,4.3,Default
613,50537.08,23.49,60463.51,36,5,2,0,0,2,27.97,5.84,Fully Paid
734,41315.53,13.56,7382.72,36,5,3,0,0,0,33.05,4.05,Fully Paid
677,168529.53,4.39,22412.91,48,15,5,0,0,0,32.09,3.69,Fully Paid
508,232602.76,16.93,26822.85,60,20,3,0,0,4,24.56,5.23,Fully Paid
675,22441.41,26.41,22953.26,36,7,4,0,0,3,84.25,7.94,Default
619,24687.95,38.41,28614.53,48,7,6,0,0,1,13.9,6.18,Fully Paid
595,37963.45,23.62,26499.75,12,20,9,0,0,0,66.6,3.28,Fully Paid
698,39588.07,4.01,16957.33,48,3,6,0,0,4,51.34,5.84,Fully Paid
732,37603.17,0.55,28610.21,48,7,7,0,0,2,38.03,5.99,Fully Paid
724,53287.63,12.94,7779.21,36,20,3,0,0,0,10.97,2.47,Fully Paid
